Open,Close,High,Low,Volume,Date
85.1,84.18,85.66,84.09,,04/10/23
84.89,85.12,85.45,84.05,,04/06/23
85.22,84.99,85.54,84.01,,04/05/23
0,84.94,0,0,,04/04/23
86,84.93,86.44,83.5,,04/03/23
79.19,79.77,79.8,78.54,,03/31/23
78.23,79.27,79.55,77.86,,03/30/23
78.97,78.28,79.68,77.94,,03/29/23
78.23,78.65,79.2,77.54,,03/28/23
75,78.12,78.42,74.8,,03/27/23
75.53,74.99,76.32,72.68,,03/24/23
75.87,75.91,77.44,75.12,,03/23/23
75.15,76.69,77.12,74.5,,03/22/23
73.64,75.32,75.42,72.82,,03/21/23
73.01,73.79,73.87,70.12,,03/20/23
74.7,72.97,75.92,71.4,,03/17/23
74.3,74.7,75.54,71.86,,03/16/23
77.82,73.69,78.73,71.67,,03/15/23
80.54,77.45,80.92,76.89,,03/14/23
82.6,80.77,83.48,78.34,,03/13/23
81.47,82.78,83.11,80.73,,03/10/23
82.55,81.59,84,81.42,,03/09/23
83.03,82.66,83.59,82.06,,03/08/23
86.23,83.29,86.75,82.83,,03/07/23
85.83,86.18,86.35,84.34,,03/06/23
84.61,85.83,86,82.36,,03/03/23
84.31,84.75,85.1,83.83,,03/02/23
83.05,84.31,84.49,82.61,,03/01/23
82.3,83.89,84.15,82.19,,02/28/23
83.19,82.45,83.6,81.73,,02/27/23
82.49,83.16,83.39,81.07,,02/24/23
80.48,82.21,82.77,80.4,,02/23/23
82.78,80.6,83.25,80.43,,02/22/23
83.86,83.05,84.2,82.56,,02/21/23
83.15,84.07,84.3,82.73,,02/20/23
84.6,83,84.87,81.8,,02/17/23
85.27,85.14,86.21,84.6,,02/16/23
85.2,85.38,85.85,83.88,,02/15/23
85.83,85.58,86.42,84.13,,02/14/23
86.51,86.61,86.95,85.1,,02/13/23
84.22,86.39,86.9,83.93,,02/10/23
84.96,84.5,85.5,83.05,,02/09/23
84.11,85.09,85.15,83.51,,02/08/23
81.26,83.69,84.13,81.19,,02/07/23
79.61,80.99,81.43,79.1,,02/06/23
82.27,79.94,84.2,79.62,,02/03/23
83.34,82.17,83.61,81.25,,02/02/23
85.56,82.84,86.21,82.37,,02/01/23
85.18,84.49,85.25,83.73,,01/31/23
86.88,84.9,87.48,84.66,,01/30/23
87.65,86.66,88.95,85.69,,01/27/23
86.35,87.47,88.01,85.74,,01/26/23
86.28,86.12,87,85.41,,01/25/23
88.07,86.13,88.71,85.8,,01/24/23
87.7,88.19,89.09,86.92,,01/23/23
86.42,87.63,87.79,85.58,,01/20/23
84.34,86.16,86.85,83.76,,01/19/23
86.45,84.98,87.85,84.36,,01/18/23
84.2,85.92,86.82,84.04,,01/17/23
85.36,84.46,85.59,83.83,,01/16/23
83.91,85.28,85.5,83.5,,01/13/23
82.88,84.03,84.62,82.37,,01/12/23
79.52,82.67,83,79.31,,01/11/23
79.54,80.1,80.89,78.81,,01/10/23
78.42,79.65,81.37,78.42,,01/09/23
78.8,78.57,80.59,78.05,,01/06/23
78.16,78.69,79.97,77.61,,01/05/23
82.31,77.84,82.72,77.72,,01/04/23
85.96,82.1,87,81.78,,01/03/23
0,85.91,0,0,,01/02/23
83.71,85.91,86,82.88,,12/30/22
82.88,82.26,83.14,81.28,,12/29/22
84.6,83.26,84.76,81.92,,12/28/22
84.5,84.33,85.6,83.65,,12/27/22
81.69,83.92,84.12,81.29,,12/23/22
82.52,80.98,83.85,80.67,,12/22/22
79.94,82.2,82.52,79.55,,12/21/22
80.25,79.99,80.89,78.28,,12/20/22
79.21,79.8,80.87,78.6,,12/19/22
81.32,79.04,81.78,78.29,,12/16/22
82.76,81.21,83.18,80.83,,12/15/22
80.35,82.7,83.15,80.11,,12/14/22
78.13,80.68,81.28,78.1,,12/13/22
76.88,77.99,78.59,75.26,,12/12/22
76.63,76.1,77.48,75.11,,12/09/22
77.46,76.15,79.17,75.74,,12/08/22
79.76,77.17,80.49,76.91,,12/07/22
83.28,79.35,83.69,78.7,,12/06/22
85.73,82.68,88.44,82.52,,12/05/22
86.9,85.57,87.91,85.16,,12/02/22
86.78,86.88,89.37,86.26,,12/01/22
83.77,85.43,85.67,83.61,,11/30/22
82.41,83.03,86,82.39,,11/29/22
83.58,83.19,84.1,80.61,,11/28/22
85.5,83.63,86.87,83.59,,11/25/22
85.04,85.34,85.54,83.9,,11/24/22
88.47,85.41,89.56,84.12,,11/23/22
87.76,88.36,89.9,87.35,,11/22/22
87.74,87.45,87.98,82.31,,11/21/22
90.1,87.62,90.63,85.8,,11/18/22
92.73,89.78,92.91,89.53,,11/17/22
94.11,92.86,94.79,91.67,,11/16/22
92.59,93.86,95.77,91.53,,11/15/22
95.87,93.14,96.95,92.5,,11/14/22
93.84,95.99,96.92,93.69,,11/11/22
92.53,93.67,94.32,91.73,,11/10/22
95.17,92.65,95.65,92.33,,11/09/22
98.24,95.36,98.3,95,,11/08/22
97.31,97.92,99.56,96.5,,11/07/22
94.58,98.57,98.81,94.33,,11/04/22
95.36,94.67,95.98,94.19,,11/03/22
94.85,96.16,96.5,94.01,,11/02/22
0,94.65,95.55,0,,11/01/22
96.47,94.83,96.47,94.25,,10/31/22
96.58,95.77,96.89,94.96,,10/28/22
96.05,96.96,97.27,95.07,,10/27/22
92.91,95.69,96.25,92.06,,10/26/22
